Dataset,BF,,,,Approx,,,LS,,,LS_genetic,,,Best_Sol
,Time(s),sol.Quality,RelError,Full Tour,Time(s),sol.Quality,RelError ,Time(s),sol.Quality,RelError,Time(s),Sol.Quality,RelError,
Atlanta,300.000 ,3630534 ,0.812 ,TRUE,0.001 ,2488306 ,0.242 ,1.489 ,2014535 ,0.005 ,10.651 ,2753077,0.374 ,2003762 
Berlin,300.000 ,19249 ,0.903 ,TRUE,0.004 ,10116 ,0.000 ,1.529 ,22674 ,1.241 ,23.370 ,22412,1.216 ,10116 
Boston,300.001 ,2226767 ,1.486 ,TRUE,0.003 ,1107061 ,0.236 ,4.603 ,939293 ,0.049 ,16.687 ,2064137,1.304 ,895727 
Champaign,300.001 ,212895 ,2.929 ,TRUE,0.005 ,64760 ,0.195 ,6.905 ,59051 ,0.090 ,22.777 ,162003,1.989 ,54191 
Cincinnati,17.449 ,277952 ,0.000 ,TRUE,0.001 ,318225 ,0.145 ,4.904 ,277953 ,0.000 ,3.979 ,277953,0.000 ,277952 
Denver,300.000 ,546925 ,4.023 ,TRUE,0.010 ,129209 ,0.187 ,6.651 ,131183 ,0.205 ,34.079 ,429524,2.945 ,108881 
NYC,300.000 ,7210976 ,3.465 ,TRUE,0.007 ,2008453 ,0.244 ,6.194 ,1735713 ,0.075 ,26.489 ,5725009,2.545 ,1615108 
Philadelphia,300.000 ,3624919 ,1.597 ,TRUE,0.002 ,1697408 ,0.216 ,3.640 ,1417583 ,0.015 ,9.328 ,2486596,0.781 ,1395981 
Roanoke,300.000 ,6849948 ,7.605 ,TRUE,0.076 ,796028 ,0.000 ,19.704 ,1079992 ,0.357 ,82.447 ,6255656,6.859 ,796028 
SanFrancisco,300.001 ,5600573 ,4.978 ,TRUE,0.014 ,1085019 ,0.158 ,7.786 ,1050028 ,0.121 ,28.786 ,4750131,4.070 ,936926 
Toronto,300.003 ,9219353 ,5.296 ,TRUE,0.016 ,1652073 ,0.128 ,8.871 ,1677806 ,0.146 ,31.729 ,8040392,4.491 ,1464327 
UKansasState,53.600 ,62962 ,0.000 ,TRUE,0.001 ,70317 ,0.117 ,1.455 ,62962 ,0.000 ,2.979 ,62962,0.000 ,62962 
UMissouri,300.001 ,662953 ,3.412 ,TRUE,0.015 ,170427 ,0.134 ,7.547 ,159513 ,0.062 ,31.089 ,622792,3.145 ,150248 
,,,,,